Model,MAE,MSE,RMSE,R2,MAPE
Linear Regression,30.822066674715476,1633.7109856226596,40.41919080860798,0.9960489766265191,0.6398856975173778
ARIMA,30.42529311786106,1603.237508883843,40.04044841012452,0.996122674740767,0.6313814688321887
LSTM,29.859310068587593,1559.0735881049648,39.4851059021622,0.996229482300242,0.618530382316675
