Model,MAE,MSE,RMSE,R2,MAPE
Linear Regression,608892844020.2986,5.629274345791749e+24,2372609185220.3027,-1.3614032538002655e+19,13982878004.333826
ARIMA,911.9776753864471,1240827.3959586758,1113.9243223660553,-2.000860058500238,17.314362451122
LSTM,301.89845938635904,121154.982845202,348.0732435065959,0.7069945827336033,6.025976542370364
