Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,SMA_20,SMA_50,EMA_20,BB_upper,BB_lower,BB_width,RSI,Volatility,Price_Range,Momentum_5,Momentum_10,Volume_Change
2015-03-16,2055.35009765625,2081.409912109375,2055.35009765625,2081.18994140625,3295600000,0.013533671171787054,0.013442909023855906,2091.1189880371094,2059.7132006835936,2077.080149336159,2139.645608622606,2042.5923674516132,97.05324117099258,40.90110493801568,0.00733958682819448,26.059814453125,1.760009765625,-36.199951171875,-0.058012439403640315
2015-03-17,2080.590087890625,2080.590087890625,2065.080078125,2074.280029296875,3221840000,-0.003320173700583018,-0.0033256977077820026,2089.815985107422,2060.034802246094,2076.81347123718,2138.6982751242685,2040.9336950905754,97.76458003369316,39.78419007002102,0.007353183004555404,15.510009765625,30.1199951171875,-33.5,-0.02238135696079624
2015-03-18,2072.840087890625,2106.85009765625,2061.22998046875,2099.5,4128210000,0.012158421402569175,0.012085101501628708,2089.806988525391,2061.613203125,2078.974093024115,2138.681700319599,2040.932276731183,97.74942358841577,47.39597532570812,0.007888007417887052,45.6201171875,59.260009765625,0.969970703125,0.28132061182429924
2015-03-19,2098.68994140625,2098.68994140625,2085.56005859375,2089.27001953125,3305220000,-0.004872579408787825,-0.004884489126950175,2089.3979919433596,2063.3464038085935,2079.954657453366,2138.1401293286167,2040.6558545581024,97.48427477051428,46.535642090765705,0.007961332210896623,13.1298828125,23.320068359375,-11.77001953125,-0.1993575908202344
2015-03-20,2090.320068359375,2113.919921875,2090.320068359375,2108.10009765625,5554120000,0.00901275466979845,0.008972382193259682,2089.2879943847656,2064.9904052734373,2082.6351755679266,2137.8410832496356,2040.7349055198958,97.10617772973978,47.9424573713245,0.008106222436588047,23.599853515625,54.7001953125,36.840087890625,0.6804085658443311
2015-03-23,2107.989990234375,2114.860107421875,2104.419921875,2104.419921875,3267960000,-0.0017457310425351702,-0.0017472566067133015,2089.025994873047,2065.836005859375,2084.7099133114575,2137.17105835706,2040.8809313890335,96.29012696802624,49.23571413498478,0.008115278611307274,10.440185546875,23.22998046875,24.989990234375,-0.4116151613576948
2015-03-24,2103.93994140625,2107.6298828125,2091.5,2091.5,3189820000,-0.006139421956948832,-0.006158345701590925,2087.8269958496094,2066.7698046875,2085.356588234176,2134.365727380137,2041.2882643190821,93.07746306105469,48.42721607139931,0.008194234916372889,16.1298828125,17.219970703125,47.3399658203125,-0.02391094138239147
2015-03-25,2093.10009765625,2097.429931640625,2061.050048828125,2061.050048828125,3521140000,-0.014558905652342857,-0.014665926527239062,2085.186492919922,2067.42560546875,2083.041679719314,2131.4981173750784,2038.874868464765,92.62324891031335,42.04748814641256,0.008774325580470853,36.3798828125,-38.449951171875,20.81005859375,0.10386792985184123
2015-03-26,2059.93994140625,2067.14990234375,2045.5,2056.14990234375,3510670000,-0.002377499996742527,-0.0023803307374738966,2082.4569885253904,2068.0880029296877,2080.4805580644984,2128.8620237352893,2036.0519533154918,92.81007041979751,46.66517233166909,0.008777983540670506,21.64990234375,-33.1201171875,-9.800048828125,-0.002973468819757241
2015-03-27,2055.780029296875,2062.830078125,2052.9599609375,2061.02001953125,3008550000,0.0023685613495147972,0.0023657607295033602,2080.282989501953,2069.0830029296876,2078.6271734422844,2126.413019658502,2034.152959345404,92.26006031309794,45.87684390217763,0.008804942554994716,9.8701171875,-47.080078125,7.6201171875,-0.14302682963650815
2015-03-30,2064.110107421875,2088.969970703125,2064.110107421875,2086.239990234375,2917690000,0.012236645187396533,0.012162382647149434,2078.7254943847656,2070.954401855469,2079.35220361296,2121.5665746986297,2035.8844140709016,85.68216062772808,59.86864292024732,0.009164199762297537,24.85986328125,-18.179931640625,5.050048828125,-0.03020059497099936
